2025-11-13 21:58:49,723 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.86) - Source: 192.168.10.3,timestamp,alert_type,source_ip,description,severity,ai_confidence,patterns
,,2025-11-13 22:00:22,AI Behavioral Anomaly,87.119.11.25,Unusual traffic pattern from 87.119.11.25 (confidence: 0.90),MEDIUM,0.8990905492073676,
2025-11-13 22:00:22,077 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 8.8.4.4 (confidence: 0.72) - Source: 8.8.4.4,,,,,,,
,,2025-11-13 22:00:22,AI Behavioral Anomaly,8.8.4.4,Unusual traffic pattern from 8.8.4.4 (confidence: 0.72),MEDIUM,0.7214277087073363,
2025-11-13 22:00:22,137 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 1.00) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 22:00:22,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 1.00),MEDIUM,1.0,
2025-11-13 22:00:22,588 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.86) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 22:00:22,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.86),MEDIUM,0.8616028992405455,
2025-11-13 22:00:23,991 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.86) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 22:00:23,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.86),MEDIUM,0.8606018683162867,
2025-11-13 22:00:28,199 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 1.00) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 22:00:28,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 1.00),MEDIUM,1.0,
2025-11-13 22:00:28,217 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 1.00) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 22:00:28,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 1.00),MEDIUM,1.0,
2025-11-13 22:00:28,234 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 1.00) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 22:00:28,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 1.00),MEDIUM,1.0,
2025-11-13 22:00:28,244 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.96) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 22:00:28,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.96),MEDIUM,0.9599496536876706,
2025-11-13 22:00:29,403 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.71) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 22:00:29,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.71),MEDIUM,0.7137070709284616,
2025-11-13 22:00:29,431 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 1.00) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 22:00:29,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 1.00),MEDIUM,1.0,
2025-11-13 22:00:30,035 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 104.18.26.90 (confidence: 1.00) - Source: 104.18.26.90,,,,,,,
,,2025-11-13 22:00:30,AI Behavioral Anomaly,104.18.26.90,Unusual traffic pattern from 104.18.26.90 (confidence: 1.00),MEDIUM,1.0,
2025-11-13 22:00:31,137 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 104.18.26.90 (confidence: 0.86) - Source: 104.18.26.90,,,,,,,
,,2025-11-13 22:00:31,AI Behavioral Anomaly,104.18.26.90,Unusual traffic pattern from 104.18.26.90 (confidence: 0.86),MEDIUM,0.8620615962381658,
2025-11-13 22:00:31,469 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 104.18.26.90 (confidence: 0.84) - Source: 104.18.26.90,,,,,,,
